Player 1,Player 2,Match title,p_win_iid,p_win_dynamic,p1_spw_iid,p2_spw_iid,average_sets,average_sets_iid,average_games,average_games_iid
Alejandro Falla,Jeremy Chardy,Men'sUSOpen.:Alejandro Falla:Jeremy Chardy,0.1773,0.18652,0.567248,0.624482,3.79725,3.9156,37.12,38.3132
Alejandro Gonzalez,Gael Monfils,Men'sUSOpen.:Alejandro Gonzalez:Gael Monfils,0.01874,0.02783,0.533558,0.662371,3.40492,3.42335,31.4584,31.6519
Alexander Kudryavtsev,Evgeny Donskoy,Men'sUSOpen.:Alexander Kudryavtsev:Evgeny Donskoy,0.40824,0.4468,0.658831,0.674131,3.98111,4.10038,41.7987,43.1653
Andrey Golubev,Fabio Fognini,Men'sUSOpen.:Andrey Golubev:Fabio Fognini,0.06701,0.08855,0.57167,0.665948,3.61851,3.66913,35.0738,35.6314
Andrey Kuznetsov,Andy Murray,Men'sUSOpen.:Andy Murray:Andrey Kuznetsov,0.016,0.02428,0.522624,0.654805,3.38255,3.4006,30.9518,31.0746
Andy Murray,Jo-Wilfried Tsonga,Men'sUSOpen.:Andy Murray:Jo-Wilfried Tsonga,0.8726,0.84095,0.683016,0.609049,3.75919,3.82092,37.9466,38.5789
Andy Murray,Matthias Bachinger,Men'sUSOpen.:Andy Murray:Matthias Bachinger,0.99094,0.98677,0.723341,0.56916,3.31341,3.32403,31.2014,31.4317
Andy Murray,Robin Haase,Men'sUSOpen.:Andy Murray:Robin Haase,0.81607,0.80799,0.619761,0.56396,3.80366,3.92541,37.1029,38.3603
Bernard Tomic,Dustin Brown,Men'sUSOpen.:Bernard Tomic:Dustin Brown,0.79156,0.75985,0.706432,0.651934,3.87048,3.95534,40.7587,41.7777
Blaz Rola,Fernando Verdasco,Men'sUSOpen.:Blaz Rola:Fernando Verdasco,0.26763,0.28632,0.592445,0.631468,3.9001,4.02885,38.9168,40.216
Borna Coric,Lukas Rosol,Men'sUSOpen.:Borna Coric:Lukas Rosol,0.87047,0.82734,0.661557,0.589979,3.7779,3.82947,37.5725,38.0197
Andrey Kuznetsov,Bradley Klahn,Men'sUSOpen.:Bradley Klahn:Andrey Kuznetsov,0.79274,0.75951,0.631754,0.580757,3.86042,3.95803,38.1883,39.1465
Carlos Berlocq,Dudi Sela,Men'sUSOpen.:Carlos Berlocq:Dudi Sela,0.31953,0.36465,0.587763,0.616745,3.94061,4.06499,39.146,40.4273
Damir Dzumhur,David Ferrer,Men'sUSOpen.:Damir Dzumhur:David Ferrer,0.0255,0.03667,0.503117,0.621905,3.44226,3.47682,31.3989,31.7414
David Ferrer,Gilles Simon,Men'sUSOpen.:David Ferrer:Gilles Simon,0.53537,0.59647,0.584901,0.579584,3.95001,4.11828,38.8739,40.6578
Alejandro Gonzalez,Dmitry Tursunov,Men'sUSOpen.:Dmitry Tursunov:Alejandro Gonzalez,0.77746,0.71392,0.664197,0.615353,3.90106,3.97435,39.6365,40.4302
Dominic Thiem,Feliciano Lopez,Men'sUSOpen.:Dominic Thiem:Feliciano Lopez,0.6997,0.6593,0.661532,0.627952,3.94375,4.05151,40.5602,41.5646
Blaz Kavcic,Donald Young,Men'sUSOpen.:Donald Young:Blaz Kavcic,0.72723,0.6928,0.61954,0.581921,3.9093,4.02621,38.6879,39.8884
Dominic Thiem,Ernests Gulbis,Men'sUSOpen.:Ernests Gulbis:Dominic Thiem,0.44191,0.4581,0.640156,0.64872,3.98193,4.11529,40.9928,42.4525
Ernests Gulbis,Kenny de Schepper,Men'sUSOpen.:Ernests Gulbis:Kenny de Schepper,0.99236,0.98568,0.733014,0.573832,3.31855,3.30469,31.6851,31.366
Adrian Mannarino,Fabio Fognini,Men'sUSOpen.:Fabio Fognini:Adrian Mannarino,0.85382,0.80503,0.606084,0.541711,3.80302,3.86164,36.7606,37.1567
Facundo Bagnis,Philipp Kohlschreiber,Men'sUSOpen.:Facundo Bagnis:Philipp Kohlschreiber,0.02915,0.0422,0.594236,0.71819,3.47964,3.49532,34.1693,34.4052
Federico Delbonis,Gilles Simon,Men'sUSOpen.:Federico Delbonis:Gilles Simon,0.20261,0.23864,0.575276,0.626615,3.85633,3.95233,38.0134,38.931
Feliciano Lopez,Tatsuma Ito,Men'sUSOpen.:Feliciano Lopez:Tatsuma Ito,0.80275,0.77814,0.688418,0.632172,3.84813,3.93406,39.7287,40.6877
Andrey Kuznetsov,Fernando Verdasco,Men'sUSOpen.:Fernando Verdasco:Andrey Kuznetsov,0.36435,0.36058,0.636648,0.659262,3.94401,4.08493,40.5338,42.173
Gilles Muller,Paul-Henri Mathieu,Men'sUSOpen.:Gilles Muller:Paul-Henri Mathieu,0.37874,0.38675,0.675784,0.696533,3.97421,4.09059,42.6625,43.9594
Gilles Simon,Radu Albot,Men'sUSOpen.:Gilles Simon:Radu Albot,0.96398,0.95126,0.662418,0.549796,3.4941,3.53735,32.9451,33.4609
David Goffin,Grigor Dimitrov,Men'sUSOpen.:Grigor Dimitrov:David Goffin,0.16363,0.17327,0.572578,0.633321,3.78068,3.89403,37.0782,38.2188
Dudi Sela,Grigor Dimitrov,Men'sUSOpen.:Grigor Dimitrov:Dudi Sela,0.01111,0.02096,0.540311,0.682558,3.36506,3.35631,31.1604,30.9527
Gael Monfils,Grigor Dimitrov,Men'sUSOpen.:Grigor Dimitrov:Gael Monfils,0.61977,0.5896,0.675998,0.65553,3.97158,4.09731,41.5983,43.0372
Grigor Dimitrov,Ryan Harrison,Men'sUSOpen.:Grigor Dimitrov:Ryan Harrison,0.98091,0.96968,0.715795,0.580885,3.42391,3.42479,33.1135,33.0972
Ivo Karlovic,Marcel Granollers,Men'sUSOpen.:Ivo Karlovic:Marcel Granollers,0.65706,0.66223,0.728857,0.700016,3.95893,4.07004,43.8118,45.2154
Jack Sock,Pablo Andujar,Men'sUSOpen.:Jack Sock:Pablo Andujar,0.29914,0.33709,0.619297,0.653311,3.9368,4.04523,40.0131,41.2165
Jan-Lennard Struff,Mikhail Kukushkin,Men'sUSOpen.:Jan-Lennard Struff:Mikhail Kukushkin,0.3774,0.40728,0.625411,0.645843,3.96636,4.09407,40.4755,41.8322
Gael Monfils,Jared Donaldson,Men'sUSOpen.:Jared Donaldson:Gael Monfils,0.97427,0.96421,0.674367,0.552813,3.44318,3.47879,32.4202,32.8359
Ivo Karlovic,Jarkko Nieminen,Men'sUSOpen.:Jarkko Nieminen:Ivo Karlovic,0.78375,0.75955,0.747463,0.69114,3.88673,3.95891,43.0321,43.928
Blaz Kavcic,Jeremy Chardy,Men'sUSOpen.:Jeremy Chardy:Blaz Kavcic,0.6499,0.59472,0.630818,0.606745,3.96066,4.07755,39.9018,41.0662
Dusan Lajovic,Jerzy Janowicz,Men'sUSOpen.:Jerzy Janowicz:Dusan Lajovic,0.12633,0.15721,0.600834,0.674729,3.75767,3.82263,37.6898,38.2948
Aleksandr Nedovesov,Jo-Wilfried Tsonga,Men'sUSOpen.:Jo-Wilfried Tsonga:Aleksandr Nedovesov,0.05983,0.07045,0.621189,0.725584,3.58589,3.63287,36.4809,37.0624
Jo-Wilfried Tsonga,Juan Monaco,Men'sUSOpen.:Jo-Wilfried Tsonga:Juan Monaco,0.78803,0.76288,0.664343,0.613227,3.86406,3.96052,39.1187,40.1664
David Goffin,Joao Sousa,Men'sUSOpen.:Joao Sousa:David Goffin,0.95322,0.92618,0.621675,0.519542,3.57652,3.58938,33.5437,33.4562
Frank Dancevic,Joao Sousa,Men'sUSOpen.:Joao Sousa:Frank Dancevic,0.37741,0.38494,0.625775,0.646085,3.95916,4.09813,40.3884,41.8691
Jan-Lennard Struff,John Isner,Men'sUSOpen.:John Isner:Jan-Lennard Struff,0.08405,0.10725,0.669448,0.767406,3.68397,3.71109,39.9998,40.3526
John Isner,Marcos Giron,Men'sUSOpen.:John Isner:Marcos Giron,0.98666,0.98102,0.79043,0.633035,3.35768,3.36298,34.5268,34.7274
John Isner,Philipp Kohlschreiber,Men'sUSOpen.:John Isner:Philipp Kohlschreiber,0.59476,0.59843,0.737537,0.720526,3.98971,4.10335,45.0466,46.5282
Benoit Paire,Julien Benneteau,Men'sUSOpen.:Julien Benneteau:Benoit Paire,0.42226,0.39777,0.575779,0.587806,3.95223,4.11492,38.9357,40.5685
