"tiebreak","breakpoint","before_breakpoint","set_up","set_down","serving","returning","serving_match","returning_match","tournament","p_iid","p_noniid","server_win","server_rank","return_win","return_rank"
FALSE,FALSE,FALSE,0,0,"Aleksandr Nedovesov","Yen-Hsun Lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Aleksandr Nedovesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Yen-Hsun Lu","Wimbledon",0.638594326373528,0.644901846207139,0,102,1,47
FALSE,FALSE,TRUE,0,0,"Aleksandr Nedovesov","Yen-Hsun Lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Aleksandr Nedovesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Yen-Hsun Lu","Wimbledon",0.638594326373528,0.645231090918985,0,102,1,47
FALSE,TRUE,FALSE,0,0,"Aleksandr Nedovesov","Yen-Hsun Lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Aleksandr Nedovesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Yen-Hsun Lu","Wimbledon",0.638594326373528,0.634192701654877,0,102,1,47
FALSE,FALSE,FALSE,0,1,"Aleksandr Nedovesov","Yen-Hsun Lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Aleksandr Nedovesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Yen-Hsun Lu","Wimbledon",0.638594326373528,0.653545949442693,0,102,1,47
FALSE,FALSE,TRUE,0,1,"Aleksandr Nedovesov","Yen-Hsun Lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Aleksandr Nedovesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Yen-Hsun Lu","Wimbledon",0.638594326373528,0.653871481038324,0,102,1,47
FALSE,FALSE,FALSE,1,0,"Aleksandr Nedovesov","Yen-Hsun Lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Aleksandr Nedovesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Yen-Hsun Lu","Wimbledon",0.638594326373528,0.653464805257572,0,102,1,47
FALSE,FALSE,TRUE,1,0,"Aleksandr Nedovesov","Yen-Hsun Lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Aleksandr Nedovesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Yen-Hsun Lu","Wimbledon",0.638594326373528,0.65379037270762,0,102,1,47
FALSE,TRUE,FALSE,0,1,"Aleksandr Nedovesov","Yen-Hsun Lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Aleksandr Nedovesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Yen-Hsun Lu","Wimbledon",0.638594326373528,0.642953165633642,0,102,1,47
FALSE,TRUE,FALSE,1,0,"Aleksandr Nedovesov","Yen-Hsun Lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Aleksandr Nedovesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Yen-Hsun Lu","Wimbledon",0.638594326373528,0.642870896199555,0,102,1,47
TRUE,FALSE,FALSE,0,0,"Aleksandr Nedovesov","Yen-Hsun Lu","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Aleksandr Nedovesov","Gentlemen'sWimbledonSingles.:Aleksandr Nedovesov:Yen-Hsun Lu:2014 Yen-Hsun Lu","Wimbledon",0.638594326373528,0.63860040901655,0,102,1,47
